;Date;Time;x;y;fx;fy;;;;
1;28/11/2022;10:46:44.813;120;-120;0;100;;;;
;28/11/2022;10:46:44.875;120;-120;0;100;;;;
;28/11/2022;10:46:44.938;120;-120;0;100;;;;
;28/11/2022;10:46:45.000;120;-120;0;100;;;;
;28/11/2022;10:46:45.063;120;-119;0;121;;;;
;28/11/2022;10:46:45.125;120;-117;0;121;;;;
;28/11/2022;10:46:45.188;120;-116;0;121;;;;
;28/11/2022;10:46:45.250;120;-113;30;121;;;;
;28/11/2022;10:46:45.313;120;-111;30;121;;;;
;28/11/2022;10:46:45.375;120;-110;30;120;;;;
;28/11/2022;10:46:45.438;120;-108;30;120;;;;
;28/11/2022;10:46:45.500;120;-105;26;120;;;;
;28/11/2022;10:46:45.563;120;-104;26;120;;;;
;28/11/2022;10:46:45.625;120;-103;26;120;;;;
;28/11/2022;10:46:45.688;120;-101;26;124;;;;
;28/11/2022;10:46:45.750;120;-98;26;124;;;;
;28/11/2022;10:46:45.813;120;-97;26;124;;;;
;28/11/2022;10:46:45.875;120;-95;0;124;;;;
;28/11/2022;10:46:45.938;120;-92;0;213;;;;
;28/11/2022;10:46:46.000;120;-89;0;213;;;;
;28/11/2022;10:46:46.063;120;-86;0;213;;;;
;28/11/2022;10:46:46.125;120;-82;0;213;;;;
;28/11/2022;10:46:46.188;120;-79;0;213;;;;
;28/11/2022;10:46:46.250;120;-73;0;263;;;;
;28/11/2022;10:46:46.313;120;-68;0;263;;;;
;28/11/2022;10:46:46.375;120;-63;0;263;;;;
;28/11/2022;10:46:46.438;120;-59;0;263;;;;
;28/11/2022;10:46:46.500;120;-49;0;263;;;;
;28/11/2022;10:46:46.563;120;-44;0;263;;;x;y
;28/11/2022;10:46:46.625;120;-43;0;82;;;;
;28/11/2022;10:46:46.688;120;-43;0;82;;;;
;28/11/2022;10:46:46.750;120;-43;0;82;;;;
;28/11/2022;10:46:46.813;120;-43;0;82;;;;
;28/11/2022;10:46:46.875;120;-43;0;82;;;;
;28/11/2022;10:46:46.938;120;-40;0;275;;;;
;28/11/2022;10:46:47.000;120;-30;0;275;;;;
;28/11/2022;10:46:47.063;120;-26;0;275;;;;
;28/11/2022;10:46:47.125;120;-21;64;275;;;;
;28/11/2022;10:46:47.188;120;-16;64;275;;;;
;28/11/2022;10:46:47.250;120;-11;64;143;;;;
;28/11/2022;10:46:47.313;120;-10;64;143;;;;
;28/11/2022;10:46:47.375;120;-8;64;143;;;;
;28/11/2022;10:46:47.438;120;-6;0;143;;;;
;28/11/2022;10:46:47.500;120;-2;0;306;;;;
;28/11/2022;10:46:47.563;120;1;0;306;;;;
;28/11/2022;10:46:47.625;120;4;0;306;;;;
;28/11/2022;10:46:47.688;120;8;0;306;;;;
;28/11/2022;10:46:47.750;120;15;0;306;;;;
;28/11/2022;10:46:47.813;120;19;0;261;;;;
;28/11/2022;10:46:47.875;120;24;0;261;;;;
;28/11/2022;10:46:47.938;120;29;0;261;;;;
;28/11/2022;10:46:48.001;120;38;0;261;;;;
;28/11/2022;10:46:48.063;120;43;0;261;;;;
;28/11/2022;10:46:48.126;120;47;0;81;;;;
;28/11/2022;10:46:48.188;120;47;0;81;;;;
;28/11/2022;10:46:48.251;120;47;0;81;;;;
;28/11/2022;10:46:48.313;120;47;0;81;;;;
;28/11/2022;10:46:48.376;120;47;0;81;;;;
;28/11/2022;10:46:48.438;120;47;0;286;;;;
;28/11/2022;10:46:48.501;120;57;0;286;;;;
;28/11/2022;10:46:48.563;120;61;0;286;;;;
;28/11/2022;10:46:48.626;120;66;0;286;;;;
;28/11/2022;10:46:48.688;121;71;132;286;;;;
;28/11/2022;10:46:48.751;124;76;132;0;;;;
;28/11/2022;10:46:48.813;126;76;132;0;;;;
;28/11/2022;10:46:48.876;128;76;132;0;;;;
;28/11/2022;10:46:48.938;129;76;132;0;;;;
;28/11/2022;10:46:49.001;130;76;0;0;;;;
;28/11/2022;10:46:49.063;130;77;0;206;;;;
;28/11/2022;10:46:49.126;130;81;0;206;;;;
;28/11/2022;10:46:49.188;130;84;0;206;;;;
;28/11/2022;10:46:49.251;130;91;0;206;;;;
;28/11/2022;10:46:49.313;130;94;0;206;;;;
;28/11/2022;10:46:49.376;130;95;-58;0;;;;
;28/11/2022;10:46:49.438;130;95;-58;0;;;;
;28/11/2022;10:46:49.501;130;95;-58;0;;;;
;28/11/2022;10:46:49.563;130;95;-58;0;;;;
;28/11/2022;10:46:49.626;130;95;-58;0;;;;
;28/11/2022;10:46:49.689;130;96;0;374;;;;
;28/11/2022;10:46:49.751;130;104;0;374;;;;
;28/11/2022;10:46:49.813;130;107;0;374;;;;
;28/11/2022;10:46:49.876;130;111;0;374;;;;
;28/11/2022;10:46:49.939;130;115;0;374;;;;
;28/11/2022;10:46:50.001;130;122;0;303;;;;
;28/11/2022;10:46:50.063;130;126;0;303;;;;
;28/11/2022;10:46:50.126;130;129;0;303;;;;
;28/11/2022;10:46:50.188;130;130;0;303;;;;
;28/11/2022;10:46:50.251;130;130;0;303;;;;
;28/11/2022;10:46:50.314;130;130;0;219;;;;
;28/11/2022;10:46:50.376;130;130;0;219;;;;
;28/11/2022;10:46:50.439;130;130;0;219;;;;
;28/11/2022;10:46:50.501;130;130;0;219;;;;
;28/11/2022;10:46:50.563;130;130;0;219;;;;
;28/11/2022;10:46:50.626;130;130;0;255;;;;
;28/11/2022;10:46:50.688;130;130;0;255;;;;
;28/11/2022;10:46:50.751;130;130;0;255;;;;
;28/11/2022;10:46:50.813;130;130;0;255;;;;
;28/11/2022;10:46:50.876;130;130;0;255;;;;
;28/11/2022;10:46:50.938;130;130;0;255;;;;
;28/11/2022;10:46:51.001;130;130;0;263;;;;
;28/11/2022;10:46:51.064;130;130;0;263;;;;
;28/11/2022;10:46:51.126;130;130;0;263;;;;
;28/11/2022;10:46:51.189;130;130;0;263;;;;
;28/11/2022;10:46:51.251;130;130;0;249;;;;
;28/11/2022;10:46:51.314;130;130;0;249;;;;
;28/11/2022;10:46:51.376;130;130;0;249;;;;
;28/11/2022;10:46:51.439;130;130;0;249;;;;
;28/11/2022;10:46:51.501;129;130;-129;249;;;;
2;28/11/2022;10:46:51.563;127;130;-129;0;;;;
;28/11/2022;10:46:51.626;126;130;-129;0;;;;
;28/11/2022;10:46:51.688;124;130;-129;0;;;;
;28/11/2022;10:46:51.751;121;130;-129;0;;;;
;28/11/2022;10:46:51.813;119;130;-261;0;;;;
;28/11/2022;10:46:51.876;115;130;-261;0;;;;
;28/11/2022;10:46:51.938;111;130;-261;0;;;;
;28/11/2022;10:46:52.001;103;128;-261;-114;;;;
;28/11/2022;10:46:52.079;99;127;-261;-114;;;;
;28/11/2022;10:46:52.126;95;125;-223;-114;;;;
;28/11/2022;10:46:52.189;89;123;-223;-114;;;;
;28/11/2022;10:46:52.251;85;121;-223;-406;;;;
;28/11/2022;10:46:52.313;82;118;-223;-406;;;;
;28/11/2022;10:46:52.376;79;114;-223;-406;;;;
;28/11/2022;10:46:52.438;75;111;-198;-406;;;;
;28/11/2022;10:46:52.501;71;102;-198;-406;;;;
;28/11/2022;10:46:52.563;68;97;-198;-349;;;;
;28/11/2022;10:46:52.626;66;93;-198;-349;;;;
;28/11/2022;10:46:52.688;61;84;-148;-349;;;;
;28/11/2022;10:46:52.751;60;80;-148;-349;;;;
;28/11/2022;10:46:52.829;58;77;-148;-349;;;;
;28/11/2022;10:46:52.907;54;70;-148;-312;;;;
;28/11/2022;10:46:52.938;53;66;-148;-312;;;;
;28/11/2022;10:46:53.032;51;63;-148;-312;;;;
;28/11/2022;10:46:53.063;48;59;-232;-312;;;;
;28/11/2022;10:46:53.142;41;52;-232;-312;;;;
;28/11/2022;10:46:53.204;38;48;-232;-276;;;;
;28/11/2022;10:46:53.251;35;43;-232;-276;;;;
;28/11/2022;10:46:53.313;32;39;-232;-276;;;;
;28/11/2022;10:46:53.376;28;34;-234;-276;;;;
;28/11/2022;10:46:53.438;22;25;-234;-276;;;;
;28/11/2022;10:46:53.501;19;21;-234;-241;;;;
;28/11/2022;10:46:53.579;15;18;-234;-241;;;;
;28/11/2022;10:46:53.642;9;11;-186;-241;;;;
;28/11/2022;10:46:53.704;7;8;-186;-241;;;;
;28/11/2022;10:46:53.751;4;5;-186;-241;;;;
;28/11/2022;10:46:53.814;2;1;-186;-290;;;;
;28/11/2022;10:46:53.876;0;-3;-186;-290;;;;
;28/11/2022;10:46:53.939;-4;-13;-178;-290;;;;
;28/11/2022;10:46:54.017;-7;-17;-178;-290;;;;
;28/11/2022;10:46:54.064;-9;-22;-178;-290;;;;
;28/11/2022;10:46:54.126;-12;-26;-178;-175;;;;
;28/11/2022;10:46:54.189;-17;-31;-178;-175;;;;
;28/11/2022;10:46:54.251;-19;-33;-132;-175;;;;
;28/11/2022;10:46:54.314;-21;-36;-132;-175;;;;
;28/11/2022;10:46:54.376;-22;-39;-132;-175;;;;
;28/11/2022;10:46:54.439;-24;-41;-132;-251;;;;
;28/11/2022;10:46:54.501;-27;-48;-132;-251;;;;
;28/11/2022;10:46:54.564;-29;-51;-220;-251;;;;
;28/11/2022;10:46:54.626;-33;-55;-220;-251;;;;
;28/11/2022;10:46:54.689;-36;-58;-220;-251;;;;
;28/11/2022;10:46:54.751;-42;-65;-220;-240;;;;
;28/11/2022;10:46:54.814;-45;-68;-220;-240;;;;
;28/11/2022;10:46:54.876;-49;-71;-219;-240;;;;
;28/11/2022;10:46:54.939;-55;-77;-219;-240;;;;
;28/11/2022;10:46:55.001;-58;-81;-219;-240;;;;
;28/11/2022;10:46:55.079;-62;-84;-219;-240;;;;
;28/11/2022;10:46:55.142;-65;-87;-219;-210;;;;
;28/11/2022;10:46:55.204;-71;-94;-235;-210;;;;
;28/11/2022;10:46:55.282;-74;-97;-235;-210;;;;
;28/11/2022;10:46:55.314;-78;-100;-235;-210;;;;
;28/11/2022;10:46:55.376;-81;-103;-235;-210;;;;
;28/11/2022;10:46:55.439;-88;-107;-235;-137;;;;
;28/11/2022;10:46:55.517;-90;-109;-183;-137;;;;
;28/11/2022;10:46:55.579;-93;-110;-183;-137;;;;
;28/11/2022;10:46:55.642;-98;-114;-183;-137;;;;
;28/11/2022;10:46:55.704;-100;-116;-183;-187;;;;
;28/11/2022;10:46:55.767;-103;-118;-183;-187;;;;
;28/11/2022;10:46:55.829;-105;-121;-195;-187;;;;
;28/11/2022;10:46:55.892;-111;-126;-195;-187;;;;
;28/11/2022;10:46:55.954;-113;-128;-195;-187;;;;
;28/11/2022;10:46:56.017;-116;-130;-195;-85;;;;
;28/11/2022;10:46:56.064;-119;-130;-195;-85;;;;
;28/11/2022;10:46:56.126;-122;-130;-333;-85;;;;
;28/11/2022;10:46:56.189;-126;-130;-333;-85;;;;
;28/11/2022;10:46:56.267;-134;-127;-333;198;;;;
;28/11/2022;10:46:56.329;-139;-124;-333;198;;;;
;28/11/2022;10:46:56.392;-146;-120;-45;198;;;;
;28/11/2022;10:46:56.439;-146;-117;-45;198;;;;
3;28/11/2022;10:46:56.517;-146;-115;-45;0;;;;
;28/11/2022;10:46:56.579;-146;-115;-45;0;;;;
;28/11/2022;10:46:56.642;-146;-115;-45;-47;;;;
;28/11/2022;10:46:56.704;-146;-115;0;-47;;;;
;28/11/2022;10:46:56.767;-146;-115;0;-47;;;;
;28/11/2022;10:46:56.814;-146;-115;0;-47;;;;
;28/11/2022;10:46:56.876;-146;-115;0;-47;;;;
;28/11/2022;10:46:56.939;-146;-115;0;-47;;;;
;28/11/2022;10:46:57.001;-146;-115;0;-70;;;;
;28/11/2022;10:46:57.064;-146;-115;0;-70;;;;
;28/11/2022;10:46:57.126;-146;-115;0;-70;;;;
;28/11/2022;10:46:57.189;-146;-115;0;-70;;;;
;28/11/2022;10:46:57.251;-142;-115;266;-70;;;;
;28/11/2022;10:46:57.314;-138;-117;266;-163;;;;
;28/11/2022;10:46:57.376;-134;-119;266;-163;;;;
;28/11/2022;10:46:57.439;-125;-123;266;-163;;;;
;28/11/2022;10:46:57.517;-121;-125;266;-163;;;;
;28/11/2022;10:46:57.580;-117;-128;502;-163;;;;
;28/11/2022;10:46:57.626;-113;-128;502;-30;;;;
;28/11/2022;10:46:57.689;-109;-128;502;-30;;;;
;28/11/2022;10:46:57.751;-102;-128;502;-30;;;;
;28/11/2022;10:46:57.814;-98;-128;502;-30;;;;
;28/11/2022;10:46:57.876;-95;-128;600;-30;;;;
;28/11/2022;10:46:57.939;-88;-128;600;0;;;;
;28/11/2022;10:46:58.017;-84;-128;600;0;;;;
;28/11/2022;10:46:58.079;-80;-128;600;0;;;;
;28/11/2022;10:46:58.126;-77;-128;600;0;;;;
;28/11/2022;10:46:58.189;-69;-128;637;0;;;;
;28/11/2022;10:46:58.267;-66;-128;637;0;;;;
;28/11/2022;10:46:58.314;-62;-128;637;0;;;;
;28/11/2022;10:46:58.376;-58;-128;637;0;;;;
;28/11/2022;10:46:58.439;-51;-128;637;0;;;;
;28/11/2022;10:46:58.517;-47;-128;675;0;;;;
;28/11/2022;10:46:58.580;-44;-128;675;0;;;;
;28/11/2022;10:46:58.642;-37;-128;675;0;;;;
;28/11/2022;10:46:58.705;-33;-128;675;0;;;;
;28/11/2022;10:46:58.767;-29;-128;675;0;;;;
;28/11/2022;10:46:58.830;-26;-128;675;0;;;;
;28/11/2022;10:46:58.892;-22;-128;595;0;;;;
;28/11/2022;10:46:58.955;-15;-128;595;102;;;;
;28/11/2022;10:46:59.017;-11;-127;595;102;;;;
;28/11/2022;10:46:59.080;-7;-126;595;102;;;;
;28/11/2022;10:46:59.127;-3;-125;595;102;;;;
;28/11/2022;10:46:59.189;0;-124;580;102;;;;
;28/11/2022;10:46:59.251;8;-122;580;65;;;;
;28/11/2022;10:46:59.314;12;-122;580;65;;;;
;28/11/2022;10:46:59.376;16;-122;580;65;;;;
;28/11/2022;10:46:59.439;19;-122;580;65;;;;
;28/11/2022;10:46:59.502;26;-122;486;65;;;;
;28/11/2022;10:46:59.564;30;-122;486;65;;;;
;28/11/2022;10:46:59.627;34;-122;486;61;;;;
;28/11/2022;10:46:59.689;37;-122;486;61;;;;
;28/11/2022;10:46:59.752;44;-122;486;61;;;;
;28/11/2022;10:46:59.830;48;-122;474;61;;;;
;28/11/2022;10:46:59.908;55;-122;474;67;;;;
;28/11/2022;10:46:59.955;59;-122;474;67;;;;
;28/11/2022;10:47:00.033;63;-122;474;67;;;;
;28/11/2022;10:47:00.080;66;-122;474;67;;;;
;28/11/2022;10:47:00.142;74;-122;438;67;;;;
;28/11/2022;10:47:00.189;77;-122;438;72;;;;
;28/11/2022;10:47:00.267;81;-122;438;72;;;;
;28/11/2022;10:47:00.330;85;-122;438;72;;;;
;28/11/2022;10:47:00.377;88;-122;438;72;;;;
;28/11/2022;10:47:00.439;92;-122;370;72;;;;
;28/11/2022;10:47:00.502;99;-122;370;76;;;;
;28/11/2022;10:47:00.580;103;-122;370;76;;;;
;28/11/2022;10:47:00.658;110;-122;370;76;;;;
;28/11/2022;10:47:00.689;114;-122;197;76;;;;
;28/11/2022;10:47:00.783;116;-122;197;76;;;;
;28/11/2022;10:47:00.814;119;-122;197;72;;;;
;28/11/2022;10:47:00.892;124;-122;197;72;;;;
;28/11/2022;10:47:00.955;126;-122;197;72;;;;
;28/11/2022;10:47:01.017;129;-122;0;72;;;;
;28/11/2022;10:47:01.064;129;-122;0;72;;;;
;28/11/2022;10:47:01.127;129;-122;0;0;;;;
;28/11/2022;10:47:01.189;129;-122;0;0;;;;
;28/11/2022;10:47:01.252;129;-122;0;0;;;;
;28/11/2022;10:47:01.314;129;-122;0;0;;;;
;28/11/2022;10:47:01.377;129;-122;0;0;;;;
;28/11/2022;10:47:01.439;129;-122;0;29;;;;
;28/11/2022;10:47:01.502;129;-122;0;29;;;;
;28/11/2022;10:47:01.564;129;-122;0;29;;;;
;28/11/2022;10:47:01.642;129;-122;0;29;;;;
;28/11/2022;10:47:01.705;129;-122;0;29;;;;
;28/11/2022;10:47:01.767;129;-122;0;83;;;;
;28/11/2022;10:47:01.814;129;-122;0;83;;;;
;28/11/2022;10:47:01.877;129;-122;0;83;;;;
;28/11/2022;10:47:01.939;129;-122;0;83;;;;
4;28/11/2022;10:47:02.002;129;-122;-32;83;;;;
;28/11/2022;10:47:02.064;129;-119;-32;202;;;;
;28/11/2022;10:47:02.143;129;-116;-32;202;;;;
;28/11/2022;10:47:02.205;129;-110;-32;202;;;;
;28/11/2022;10:47:02.267;129;-107;-32;202;;;;
;28/11/2022;10:47:02.314;126;-105;-404;202;;;;
;28/11/2022;10:47:02.377;122;-103;-404;123;;;;
;28/11/2022;10:47:02.455;114;-100;-404;123;;;;
;28/11/2022;10:47:02.533;110;-99;-404;123;;;;
;28/11/2022;10:47:02.564;106;-97;-404;123;;;;
;28/11/2022;10:47:02.642;97;-94;-800;156;;;;
;28/11/2022;10:47:02.689;97;-94;-800;156;;;;
;28/11/2022;10:47:02.752;89;-90;-800;156;;;;
;28/11/2022;10:47:02.830;84;-88;-800;156;;;;
;28/11/2022;10:47:02.892;75;-83;-526;156;;;;
;28/11/2022;10:47:02.939;75;-83;-526;156;;;;
;28/11/2022;10:47:03.002;66;-76;-526;418;;;;
;28/11/2022;10:47:03.080;61;-71;-526;418;;;;
;28/11/2022;10:47:03.143;52;-61;-526;418;;;;
;28/11/2022;10:47:03.205;47;-57;-223;418;;;;
;28/11/2022;10:47:03.252;44;-53;-223;679;;;;
;28/11/2022;10:47:03.330;40;-50;-223;679;;;;
;28/11/2022;10:47:03.392;34;-43;-223;679;;;;
;28/11/2022;10:47:03.439;34;-43;-223;679;;;;
;28/11/2022;10:47:03.502;27;-36;-100;679;;;;
;28/11/2022;10:47:03.580;27;-32;-100;679;;;;
;28/11/2022;10:47:03.642;27;-25;-100;416;;;;
;28/11/2022;10:47:03.689;27;-25;-100;416;;;;
;28/11/2022;10:47:03.752;27;-18;-100;416;;;;
;28/11/2022;10:47:03.814;27;-14;-100;416;;;;
;28/11/2022;10:47:03.892;26;-10;-116;416;;;;
;28/11/2022;10:47:03.971;23;-2;-116;221;;;;
;28/11/2022;10:47:04.017;22;0;-116;221;;;;
;28/11/2022;10:47:04.080;20;3;-116;221;;;;
;28/11/2022;10:47:04.127;19;7;-116;221;;;;
;28/11/2022;10:47:04.205;12;13;-417;221;;;;
;28/11/2022;10:47:04.283;9;14;-417;0;;;;
;28/11/2022;10:47:04.330;5;14;-417;0;;;;
;28/11/2022;10:47:04.392;-2;14;-417;0;;;;
;28/11/2022;10:47:04.439;-2;14;-417;0;;;;
;28/11/2022;10:47:04.517;-10;14;-464;0;;;;
;28/11/2022;10:47:04.596;-17;14;-464;0;;;;
;28/11/2022;10:47:04.627;-17;14;-464;0;;;;
;28/11/2022;10:47:04.705;-25;14;-464;0;;;;
;28/11/2022;10:47:04.768;-27;14;-86;0;;;;
;28/11/2022;10:47:04.815;-27;14;-86;0;;;;
;28/11/2022;10:47:04.877;-27;15;-86;122;;;;
;28/11/2022;10:47:04.955;-27;18;-86;122;;;;
;28/11/2022;10:47:05.033;-27;19;-86;122;;;;
;28/11/2022;10:47:05.065;-27;20;0;122;;;;
;28/11/2022;10:47:05.127;-27;22;0;122;;;;
;28/11/2022;10:47:05.205;-27;23;0;91;;;;
;28/11/2022;10:47:05.252;-27;23;0;91;;;;
;28/11/2022;10:47:05.315;-27;23;0;91;;;;
;28/11/2022;10:47:05.377;-27;23;-89;91;;;;
;28/11/2022;10:47:05.440;-27;23;-89;0;;;;
;28/11/2022;10:47:05.518;-27;23;-89;0;;;;
;28/11/2022;10:47:05.580;-27;23;-89;0;;;;
;28/11/2022;10:47:05.627;-27;23;-89;0;;;;
;28/11/2022;10:47:05.690;-30;23;-216;0;;;;
;28/11/2022;10:47:05.768;-33;23;-216;0;;;;
;28/11/2022;10:47:05.815;-36;23;-216;0;;;;
;28/11/2022;10:47:05.877;-39;23;-216;0;;;;
;28/11/2022;10:47:05.940;-45;23;-216;0;;;;
;28/11/2022;10:47:06.018;-48;23;-385;0;;;;
;28/11/2022;10:47:06.080;-52;23;-385;0;;;;
;28/11/2022;10:47:06.127;-56;23;-385;47;;;;
;28/11/2022;10:47:06.190;-64;23;-385;47;;;;
;28/11/2022;10:47:06.268;-67;23;-385;47;;;;
;28/11/2022;10:47:06.330;-71;23;-213;47;;;;
;28/11/2022;10:47:06.377;-73;23;-213;47;;;;
;28/11/2022;10:47:06.455;-80;29;-213;243;;;;
;28/11/2022;10:47:06.534;-83;32;-213;243;;;;
;28/11/2022;10:47:06.580;-86;35;-213;243;;;;
;28/11/2022;10:47:06.658;-88;42;-87;243;;;;
;28/11/2022;10:47:06.705;-88;45;-87;358;;;;
;28/11/2022;10:47:06.784;-88;49;-87;358;;;;
;28/11/2022;10:47:06.815;-88;52;-87;358;;;;
;28/11/2022;10:47:06.893;-88;56;-87;358;;;;
;28/11/2022;10:47:06.940;-88;60;-109;358;;;;
;28/11/2022;10:47:07.018;-91;67;-109;190;;;;
;28/11/2022;10:47:07.065;-92;69;-109;190;;;;
;28/11/2022;10:47:07.143;-93;72;-109;190;;;;
;28/11/2022;10:47:07.205;-96;77;-118;190;;;;
;28/11/2022;10:47:07.252;-97;79;-118;190;;;;
;28/11/2022;10:47:07.330;-99;81;-118;0;;;;
;28/11/2022;10:47:07.377;-100;81;-118;0;;;;
;28/11/2022;10:47:07.455;-103;81;-118;0;;;;
;28/11/2022;10:47:07.533;-105;81;-106;0;;;;
;28/11/2022;10:47:07.580;-106;81;-106;0;;;;
;28/11/2022;10:47:07.659;-108;81;-106;29;;;;
;28/11/2022;10:47:07.690;-110;81;-106;29;;;;
;28/11/2022;10:47:07.768;-111;81;-106;29;;;;
;28/11/2022;10:47:07.815;-112;81;-39;29;;;;
;28/11/2022;10:47:07.893;-112;81;-39;29;;;;
;28/11/2022;10:47:07.971;-112;84;-39;170;;;;
;28/11/2022;10:47:08.018;-112;86;-39;170;;;;
;28/11/2022;10:47:08.096;-112;89;-39;170;;;;
;28/11/2022;10:47:08.127;-112;91;-39;170;;;;
;28/11/2022;10:47:08.205;-112;96;-47;170;;;;
;28/11/2022;10:47:08.284;-112;98;-47;119;;;;
;28/11/2022;10:47:08.315;-112;99;-47;119;;;;
;28/11/2022;10:47:08.393;-112;101;-47;119;;;;
;28/11/2022;10:47:08.455;-112;104;-47;119;;;;
5;28/11/2022;10:47:08.534;-112;105;-47;119;;;;
;28/11/2022;10:47:08.565;-112;105;-47;0;;;;
;28/11/2022;10:47:08.643;-112;105;-47;0;;;;
;28/11/2022;10:47:08.705;-112;105;-47;0;;;;
;28/11/2022;10:47:08.784;-112;105;-61;0;;;;
;28/11/2022;10:47:08.831;-112;105;-61;0;;;;
;28/11/2022;10:47:08.893;-112;105;-61;0;;;;
;28/11/2022;10:47:08.940;-112;105;-61;0;;;;
;28/11/2022;10:47:09.018;-112;105;-61;0;;;;
;28/11/2022;10:47:09.096;-112;105;-54;0;;;;
;28/11/2022;10:47:09.143;-112;105;-54;0;;;;
;28/11/2022;10:47:09.206;-112;105;-54;62;;;;
;28/11/2022;10:47:09.252;-112;105;-54;62;;;;
;28/11/2022;10:47:09.331;-112;105;-54;62;;;;
